day,sizebin1,sizebin2,sizebin3,sizebin4,sizebin5,sizebin6,,Day 1= December 1st (no specific year- they  are calculated by a model- day 335 is Dec 1 on Camila's set up)
117,0.000270018,0.000131706,0.000370781,0.121218492,0.729443382,1.212440879,,
118,0.000270138,0.00013181,0.000370501,0.120505338,0.726252934,1.206427007,,
119,0.000270243,0.000131906,0.000370219,0.119804133,0.723119867,1.200531349,,
120,0.00027033,0.000131995,0.000369925,0.119113189,0.720032246,1.194737777,,
121,0.000270407,0.000132079,0.000369624,0.118433658,0.716996423,1.189057555,,
122,0.000270475,0.000132159,0.00036931,0.117764558,0.714005015,1.183481371,,
123,0.000270531,0.000132232,0.000368975,0.117104336,0.711046964,1.177994414,,
124,0.000270582,0.000132301,0.00036862,0.116454037,0.708128336,1.17260807,,
125,0.00027064,0.000132374,0.000368261,0.115817164,0.705271515,1.167358844,,
126,0.000270704,0.000132447,0.000367887,0.115191863,0.702463325,1.162228507,,
127,0.000270777,0.000132524,0.000367498,0.114578339,0.699704261,1.15721987,,
128,0.000270841,0.000132597,0.000367093,0.113976919,0.696993984,1.15233096,,
129,0.000270903,0.000132669,0.000366671,0.113387781,0.694333179,1.147565677,,
130,0.000270965,0.000132742,0.000366233,0.112811152,0.691722192,1.14292599,,
131,0.000271021,0.000132812,0.000365768,0.112243605,0.689140693,1.138377723,,
132,0.000271068,0.000132877,0.00036527,0.111682781,0.686574391,1.133897267,,
133,0.000271105,0.000132937,0.00036474,0.111129161,0.684025076,1.129489105,,
134,0.000271138,0.000132995,0.000364183,0.110584745,0.681504478,1.125173266,,
135,0.00027125,0.000133093,0.000363727,0.11008846,0.679250775,1.12134258,,
136,0.000272482,0.000133764,0.000364902,0.110117569,0.680188619,1.122833933,,
137,0.00027478,0.000135024,0.000367876,0.11076139,0.684843922,1.130547088,,
138,0.000277644,0.000136641,0.000372048,0.111865621,0.692280775,1.14294842,,
139,0.000281018,0.000138593,0.000377353,0.11342953,0.70250999,1.160069234,,
140,0.000284959,0.000140921,0.00038395,0.11553324,0.716033929,1.182758914,,
141,0.000288627,0.000143209,0.000390701,0.117858523,0.73088873,1.207795635,,
142,0.000292005,0.000145425,0.000397475,0.120380802,0.746930986,1.234965876,,
143,0.000295238,0.000147633,0.000404416,0.123153181,0.764496771,1.264838482,,
144,0.000298424,0.000149872,0.000411614,0.126217085,0.783851385,1.297869542,,
145,0.000301622,0.000152166,0.000419129,0.129608362,0.805225148,1.334459517,,
146,0.000304862,0.000154534,0.000427016,0.133365415,0.828861119,1.375032937,,
147,0.000308226,0.000157016,0.000435405,0.137553645,0.855175032,1.420302413,,
148,0.000311582,0.000159544,0.000444107,0.142133715,0.883931558,1.469897793,,
149,0.000314714,0.000162004,0.000452803,0.14702654,0.914651097,1.523045988,,
150,0.000317692,0.000164424,0.000461563,0.152274797,0.947612387,1.580234246,,
151,0.000320504,0.00016679,0.000470337,0.157879962,0.982842459,1.641529252,,
152,0.000323166,0.000169102,0.000479114,0.16385724,1.020454458,1.707141413,,
153,0.000325741,0.000171387,0.000487959,0.170249307,1.060735411,1.777573403,,
154,0.00032835,0.000173715,0.000497091,0.177166785,1.104394277,1.854045006,,
155,0.000331027,0.0001761,0.000506548,0.184647965,1.151705359,1.937038528,,
156,0.000333751,0.000178541,0.000516376,0.192751122,1.203150379,2.027387217,,
157,0.000336555,0.000181058,0.000526633,0.201522201,1.259106327,2.125738963,,
158,0.000339345,0.000183602,0.000537205,0.210928434,1.31979812,2.232431476,,
159,0.000342132,0.000186182,0.000548135,0.221017365,1.385657211,2.348204089,,
160,0.000344928,0.000188807,0.000559477,0.231865206,1.457397897,2.474281035,,
161,0.000347742,0.000191486,0.000571281,0.243529335,1.535592211,2.611634544,,
162,0.000350795,0.000194349,0.000583995,0.256312305,1.622318529,2.763852067,,
163,0.000354129,0.000197427,0.000597743,0.27032812,1.718518966,2.932549496,,
164,0.000357904,0.000200837,0.000613001,0.285983336,1.827105559,3.122762235,,
165,0.000362217,0.00020464,0.000630001,0.303463511,1.949470281,3.336886863,,
166,0.000367139,0.000208919,0.000649304,0.323273939,2.089415786,3.581503663,,
167,0.000372505,0.000213595,0.00067079,0.345477266,2.247676167,3.857896646,,
168,0.000375822,0.000217202,0.000689959,0.36782842,2.410180313,4.141909351,,
169,0.000373725,0.000217619,0.000699626,0.386186666,2.549735988,4.38672255,,
170,0.000365785,0.000214349,0.000697396,0.398622747,2.6532211,4.569609865,,
171,0.000353463,0.000207994,0.000684237,0.404880828,2.718195122,4.686236088,,
172,0.000340735,0.000200784,0.00066672,0.408041998,2.764214586,4.770360701,,
173,0.000330161,0.000194323,0.000650067,0.410981158,2.810081853,4.854594739,,
174,0.000321731,0.000188763,0.000635038,0.414200882,2.859196639,4.944893104,,
175,0.000314787,0.000183859,0.000621139,0.417535552,2.910478728,5.039371325,,
176,0.000308813,0.000179418,0.000607997,0.420862124,2.963077025,5.136509238,,
177,0.000303827,0.000175451,0.000595651,0.424201697,3.017047866,5.236444028,,
178,0.000299506,0.000171841,0.000583909,0.42750767,3.071863588,5.338321967,,
179,0.000295805,0.000168575,0.000572779,0.430788408,3.127559137,5.442213136,,
180,0.000292612,0.000165614,0.000562215,0.434037816,3.1840247,5.54794911,,
181,0.000289834,0.000162927,0.000552234,0.43730549,3.241586596,5.656090847,,
182,0.000287464,0.000160512,0.000542847,0.440613655,3.300404514,5.766906054,,
183,0.000285371,0.000158332,0.000534156,0.444201774,3.362177509,5.883250488,,
184,0.000283614,0.000156404,0.000526121,0.447972304,3.426215576,6.003963663,,
185,0.000282073,0.000154666,0.000518692,0.452019336,3.493072081,6.129870392,,
186,0.000280781,0.000153135,0.000511884,0.456317055,3.562595196,6.26074437,,
187,0.000279623,0.000151747,0.000505596,0.460945713,3.634966351,6.396598729,,
188,0.000278586,0.000150497,0.000499819,0.465914963,3.710209077,6.537439114,,
189,0.000277517,0.00014929,0.000494246,0.47096012,3.786028926,6.679109653,,
190,0.000276284,0.000148045,0.000488633,0.475896733,3.860742963,6.818510445,,
191,0.000274907,0.000146773,0.000483003,0.480721466,3.934301733,6.955554004,,
192,0.000273228,0.000145374,0.000477036,0.485141209,4.003984962,7.085238414,,
193,0.000271424,0.000143929,0.000470969,0.489352458,4.071191936,7.209948538,,
194,0.000269571,0.000142478,0.000464923,0.493476356,4.136830832,7.331239588,,
195,0.000267912,0.000141145,0.00045932,0.497963207,4.204443005,7.455259143,,
196,0.000266421,0.00013992,0.000454131,0.502805509,4.273909925,7.581748212,,
197,0.000265115,0.000138814,0.000449407,0.508081347,4.345797655,7.711642429,,
198,0.000263936,0.000137809,0.000445161,0.513919555,4.421007707,7.846356856,,
199,0.000262891,0.000136905,0.000441378,0.520280859,4.499252114,7.985420784,,
200,0.00026191,0.000136074,0.00043804,0.527293634,4.581358793,8.130056505,,
201,0.000260942,0.000135284,0.000435019,0.534746946,4.665559965,8.277181814,,
202,0.00025945,0.000134246,0.000431373,0.541500753,4.741664573,8.408459986,,
203,0.000257638,0.00013305,0.00042732,0.547648371,4.811046418,8.526215094,,
204,0.000255531,0.000131693,0.000422803,0.552976419,4.872263175,8.627729709,,
205,0.000252909,0.000130058,0.000417394,0.556673608,4.919063841,8.70153789,,
206,0.000250135,0.000128329,0.000411769,0.559428651,4.957529902,8.758432572,,
207,0.000247509,0.000126657,0.000406495,0.561709374,4.99204154,8.806084887,,
208,0.000245215,0.000125155,0.000402286,0.564037713,5.027425983,8.852911625,,
209,0.000243171,0.000123792,0.000399104,0.566371812,5.063388341,8.898317778,,
210,0.000241361,0.000122575,0.000397151,0.56884983,5.101321983,8.944639848,,
211,0.000239779,0.000121501,0.00039632,0.571452778,5.140950633,8.991551403,,
212,0.000238405,0.000120559,0.000396582,0.574151161,5.182020416,9.038606909,,
213,0.000237181,0.000119724,0.000397804,0.57685992,5.223724737,9.084518747,,
214,0.000236092,0.000118981,0.00039983,0.579483461,5.265071175,9.127768606,,
215,0.000235071,0.000118303,0.000402621,0.581979791,5.305748251,9.167841398,,
216,0.000234066,0.000117671,0.000406155,0.584329011,5.345641127,9.204576176,,
217,0.000233133,0.000117099,0.000410318,0.586531681,5.384555463,9.237954728,,
218,0.000232224,0.000116575,0.0004152,0.588680885,5.423503563,9.269676663,,
219,0.000231423,0.00011613,0.000420703,0.590850108,5.462910125,9.300836186,,
220,0.000230723,0.000115759,0.000426777,0.59306571,5.502962323,9.331910284,,
221,0.000230093,0.00011545,0.000433371,0.595338928,5.543738932,9.363168876,,
222,0.000229508,0.000115192,0.000440424,0.597668637,5.58519386,9.394664991,,
223,0.000228966,0.000114978,0.000447829,0.600056577,5.627207124,9.42643728,,
224,0.00022845,0.000114801,0.000455526,0.602504914,5.669747495,9.458573274,,
225,0.000227972,0.00011466,0.000463393,0.605014286,5.712631486,9.491022005,,
226,0.000227508,0.00011454,0.000471329,0.607551622,5.755464355,9.523303546,,
227,0.000226836,0.000114326,0.000478818,0.609467602,5.792045536,9.545307343,,
228,0.000225916,0.000113995,0.000485705,0.610663849,5.821339318,9.555509224,,
229,0.00022486,0.000113581,0.000491842,0.611083402,5.842456271,9.552900625,,
