day,sizebin1,sizebin2,sizebin3,sizebin4,,Day 1= December 1st (no specific year- they  are calculated by a model- day 335 is Dec 1 on Camila's set up)
235,0.035655206,0.733233749,14.86841891,18.98528291,,
236,0.036387409,0.720730355,14.81776451,18.91762264,,
237,0.037069948,0.708668231,14.76470466,18.85037012,,
238,0.037701566,0.697034525,14.70930507,18.7835599,,
239,0.038265984,0.68588058,14.65133054,18.71709497,,
240,0.038771584,0.675111299,14.59042092,18.6502349,,
241,0.039214025,0.664512675,14.52298733,18.57820594,,
242,0.039576812,0.654167633,14.44929943,18.50151415,,
243,0.039848549,0.644062105,14.36849217,18.41902668,,
244,0.040022513,0.634098114,14.27867527,18.32814418,,
245,0.040105796,0.624323549,14.18137077,18.23064256,,
246,0.04010963,0.614835011,14.07916652,18.12968858,,
247,0.040074629,0.605699764,13.97389405,18.02766916,,
248,0.04002447,0.596975625,13.86722864,17.92667348,,
249,0.039968049,0.588649701,13.75929591,17.8267812,,
250,0.039916386,0.580738019,13.65085534,17.72887208,,
251,0.039862533,0.573204884,13.54153737,17.63231871,,
252,0.03980577,0.566040834,13.43148692,17.53717484,,
253,0.039741667,0.559226645,13.32063873,17.44321198,,
254,0.039669078,0.55275321,13.20915377,17.35051962,,
255,0.039585572,0.546603937,13.09703702,17.2589663,,
256,0.039490512,0.540771189,12.98441787,17.16860671,,
257,0.039383634,0.53524886,12.87144508,17.07952497,,
258,0.039263086,0.530024243,12.75817777,16.99167289,,
259,0.039129838,0.525095473,12.64473392,16.90514122,,
260,0.03898257,0.520452083,12.53120615,16.81992941,,
261,0.038821137,0.516087275,12.41767368,16.73605862,,
262,0.03864541,0.511994275,12.30421524,16.65354993,,
263,0.038454894,0.508165395,12.19092203,16.57242561,,
264,0.038249622,0.504593309,12.07784221,16.49268212,,
265,0.038029228,0.501270701,11.96506383,16.41434251,,
266,0.037793981,0.498190755,11.8526333,16.3374036,,
267,0.037543865,0.495346377,11.74061349,16.26187231,,
268,0.037278598,0.492730214,11.62908258,16.18776502,,
269,0.036998105,0.490335109,11.51810765,16.11509118,,
270,0.03670413,0.488155419,11.40768852,16.04381475,,
271,0.036396047,0.48618353,11.29791259,15.97395892,,
272,0.036074039,0.484412499,11.18883738,15.90552668,,
273,0.035738973,0.482850826,11.08050668,15.83844699,,
274,0.035392464,0.481523845,10.97294925,15.77256808,,
275,0.035034321,0.480416203,10.86623011,15.70793328,,
276,0.034665074,0.479528773,10.76039982,15.6445081,,
277,0.034286386,0.478886517,10.65548653,15.5821304,,
278,0.03389907,0.478496334,10.55153519,15.52073379,,
279,0.033503648,0.478358907,10.44859655,15.46028479,,
280,0.033100974,0.478476487,10.34671384,15.40072918,,
281,0.032692722,0.478798306,10.24590291,15.34213602,,
282,0.032279438,0.479346569,10.14621729,15.28440469,,
283,0.031862064,0.480118084,10.04769742,15.22749363,,
284,0.031441063,0.481080798,9.950215405,15.17113599,,
285,0.031016109,0.482154602,9.853363169,15.11468981,,
286,0.030580432,0.483178,9.754645218,15.05423502,,
287,0.030119329,0.483812425,9.649078247,14.98188398,,
288,0.029636192,0.484071748,9.537841533,14.89899709,,
289,0.029125656,0.483871093,9.419268555,14.80270331,,
290,0.02858891,0.483204614,9.293716781,14.69320155,,
291,0.02803485,0.48224048,9.164410851,14.5751381,,
292,0.02748229,0.481364855,9.037926182,14.45881735,,
293,0.026930266,0.480627649,8.914341729,14.34430329,,
294,0.026375036,0.479985758,8.792685019,14.22974362,,
295,0.025809759,0.479379468,8.671338436,14.11190778,,
296,0.025210056,0.478284625,8.541293882,13.97641337,,
297,0.024582443,0.476781351,8.404347845,13.82607117,,
298,0.023927811,0.474862082,8.260768062,13.66081217,,
299,0.0232416,0.472337896,8.10877953,13.47692026,,
300,0.022553551,0.469799958,7.958748263,13.29207208,,
301,0.021873932,0.46740467,7.814397698,13.11202377,,
302,0.021202768,0.465124906,7.67571445,12.93675717,,
303,0.020539596,0.462958666,7.542924249,12.76624143,,
304,0.019885329,0.460902514,7.416019929,12.60049541,,
305,0.019241235,0.458959849,7.294945137,12.43956253,,
306,0.018606127,0.457125326,7.179157843,12.28257142,,
307,0.017981727,0.455410507,7.068582702,12.12962994,,
308,0.017370211,0.453818628,6.963082865,11.98082382,,
309,0.016771721,0.45233349,6.862060531,11.83535366,,
310,0.016184204,0.45085178,6.763612829,11.6902496,,
311,0.01560752,0.449334716,6.666725796,11.54421317,,
312,0.015043228,0.447779066,6.570933368,11.39745509,,
313,0.014494688,0.44626568,6.476880927,11.25219777,,
314,0.013962261,0.444805523,6.384728041,11.10870897,,
315,0.013449351,0.443487556,6.295545759,10.96927981,,
316,0.01295723,0.442331685,6.209524914,10.83452646,,
317,0.012486008,0.441338258,6.126546703,10.70446177,,
318,0.012035106,0.440509299,6.046454727,10.57894033,,
319,0.01160425,0.439832657,5.969003602,10.45768333,,
320,0.011193406,0.439311158,5.894240883,10.34074033,,
321,0.010801597,0.438934995,5.821867622,10.22775003,,
322,0.010429155,0.438704661,5.751937245,10.11877231,,
323,0.010075934,0.438603108,5.684140105,10.01340736,,
324,0.009742745,0.438610524,5.618245494,9.911213651,,
325,0.009433239,0.438480587,5.551077682,9.80673117,,
326,0.009144093,0.437936484,5.479408829,9.694258365,,
327,0.008873826,0.436906873,5.402841283,9.573044044,,
328,0.008623764,0.435487913,5.322979581,9.445730053,,
329,0.008395649,0.433729485,5.240786163,9.313833641,,
330,0.008191831,0.431796579,5.15875169,9.181625097,,
331,0.008016658,0.429875091,5.079238347,9.053134514,,
332,0.007871366,0.427996816,5.002650483,8.928982037,,
333,0.007756042,0.426171912,4.929097094,8.809264383,,
334,0.007669816,0.424392725,4.858494883,8.693808824,,
335,0.00761186,0.422653105,4.790723917,8.582394326,,
336,0.007581556,0.420974554,4.725953514,8.475335367,,
337,0.007578618,0.419456496,4.665231197,8.374563113,,
338,0.007601555,0.418060902,4.607945092,8.279017543,,
339,0.007648807,0.416768943,4.553730701,8.188101295,,
340,0.007718595,0.415560209,4.502191384,8.10117019,,
341,0.007808801,0.414411957,4.452927449,8.017580836,,
342,0.007916712,0.413301589,4.405598444,7.936803708,,
343,0.008039912,0.412231253,4.36012475,7.858783642,,
344,0.008176084,0.411188789,4.316284785,7.783194531,,
345,0.008322842,0.410178479,4.274059827,7.710070392,,
346,0.008478049,0.409195467,4.233310878,7.6392264,,
347,0.008640022,0.408242289,4.193995562,7.57062915,,
348,0.008806791,0.407316418,4.156020866,7.504160981,,
349,0.008976672,0.406416388,4.11931836,7.439731718,,
350,0.009147623,0.405526268,4.083685076,7.377006867,,
351,0.009317658,0.404628806,4.048911481,7.315633785,,
352,0.009483961,0.403639833,4.014146243,7.254071412,,
353,0.009643769,0.402488285,3.978671769,7.19102731,,
354,0.009791785,0.401055076,3.94142707,7.124600514,,
355,0.0099249,0.399279404,3.901896602,7.053848155,,
356,0.010042836,0.397186244,3.860499795,6.979479607,,
357,0.010146751,0.3948549,3.818391696,6.903438584,,
358,0.010244258,0.392494028,3.777322518,6.82891165,,
359,0.010336671,0.390082123,3.737307612,6.75577146,,
360,0.01042596,0.387663274,3.698710126,6.684658222,,
361,0.010512975,0.385241317,3.661393111,6.615365948,,
362,0.01059734,0.38281168,3.6254159,6.547956614,,
363,0.010679746,0.380375186,3.59082165,6.482471669,,
364,0.010759726,0.377935824,3.557588992,6.418860791,,
365,0.010836559,0.375497127,3.525701903,6.357099506,,
