day,sizebin1,sizebin2,sizebin3,sizebin4,sizebin5,sizebin6,,Day 1= December 1st (no specific year- they  are calculated by a model- day 335 is Dec 1 on Camila's set up)
154,7.48E-05,0.000189378,1.41817991,15.62194206,33.88819695,44.11249508,,
155,7.76E-05,0.000192194,1.352823015,14.99055656,33.37623661,43.94205935,,
156,8.06E-05,0.000195242,1.292127908,14.39606844,32.87386678,43.74742863,,
157,8.36E-05,0.000198515,1.235917873,13.83687439,32.38078721,43.52909284,,
158,8.68E-05,0.000202009,1.184379408,13.31303239,31.89786994,43.28786736,,
159,9.01E-05,0.000205727,1.137288013,12.82305948,31.42488372,43.0241702,,
160,9.35E-05,0.000209666,1.094676787,12.36638264,30.96223184,42.7386566,,
161,9.71E-05,0.000213824,1.056337096,11.94167239,30.50961857,42.43161223,,
162,0.000100716,0.000218199,1.022207491,11.54804431,30.06715187,42.10351052,,
163,0.000104471,0.000222789,0.992137515,11.18442663,29.63423845,41.75400357,,
164,0.000108324,0.000227593,0.966023477,10.84982921,29.21073704,41.38330695,,
165,0.000112268,0.00023261,0.943787362,10.5434879,28.79563522,40.99023869,,
166,0.000116297,0.000237838,0.925316524,10.26441302,28.38860381,40.57475129,,
167,0.000120396,0.000243273,0.910609662,10.01208635,27.98755841,40.13344396,,
168,0.000124556,0.000248912,0.899610489,9.785823158,27.59171308,39.66525172,,
169,0.000128767,0.00025477,0.892401586,9.585970287,27.20205989,39.1709465,,
170,0.000133013,0.000260833,0.889027592,9.412682882,26.82055533,38.65205864,,
171,0.000137287,0.000267116,0.889557135,9.266784053,26.45353029,38.11704366,,
172,0.000141586,0.000273629,0.894017244,9.148880657,26.10819314,37.57634219,,
173,0.000145896,0.000280359,0.902327315,9.058337416,25.78895706,37.03793618,,
174,0.000150198,0.000287275,0.914369507,8.993529278,25.49565882,36.50407585,,
175,0.000154475,0.000294359,0.9300539,8.952891759,25.2270843,35.97615365,,
176,0.000158704,0.00030158,0.949368452,8.934915045,24.98087729,35.45337572,,
177,0.000162852,0.000308901,0.972403894,8.938190414,24.75440328,34.93433617,,
178,0.000166915,0.000316323,0.999218604,8.96284814,24.54783115,34.41938535,,
179,0.000170861,0.000323823,1.030013665,9.008202716,24.35970103,33.90835732,,
180,0.000174672,0.000331393,1.064934375,9.074124786,24.18954795,33.40158869,,
181,0.000178325,0.00033902,1.104130876,9.160352375,24.03668464,32.89926726,,
182,0.000181784,0.000346695,1.14800054,9.266869498,23.90059139,32.40298771,,
183,0.000185042,0.000354415,1.196619471,9.393738932,23.78104177,31.91249071,,
184,0.000188025,0.000362142,1.250914166,9.541542171,23.67546288,31.42574039,,
185,0.000190766,0.000369892,1.310496887,9.710051556,23.58491568,30.94349247,,
186,0.000193168,0.000377636,1.376546415,9.899836905,23.50714989,30.4661868,,
187,0.000195259,0.000385381,1.448739324,10.11074188,23.44278291,29.99370271,,
188,0.000196966,0.000393114,1.528320726,10.34403955,23.39033473,29.52604552,,
189,0.00019828,0.000400834,1.61543895,10.5998784,23.34962479,29.06321803,,
190,0.00019916,0.000408534,1.710934342,10.87908047,23.320047,28.60567842,,
191,0.000199564,0.000416207,1.815642498,11.18246789,23.30089593,28.15377325,,
192,0.000199493,0.000423857,1.929672594,11.51017976,23.29228599,27.70740687,,
193,0.000198889,0.000431477,2.054579986,11.86382306,23.29340382,27.26688344,,
194,0.000197733,0.000439081,2.191396735,12.24432372,23.30468083,26.83431284,,
195,0.000196009,0.000446666,2.340694457,12.65204407,23.32570307,26.40995943,,
196,0.00019368,0.000454219,2.503881466,13.08755322,23.35456888,25.99343923,,
197,0.000190745,0.000461749,2.681781005,13.5510386,23.39080849,25.5856826,,
198,0.000187197,0.00046926,2.875332204,14.04275777,23.4335567,25.18702725,,
199,0.000183034,0.000476771,3.087014604,14.56318686,23.47982392,24.79655557,,
200,0.000178262,0.000484279,3.316307656,15.11215164,23.5302506,24.41441451,,
201,0.000172911,0.000491826,3.566688619,15.68988227,23.58105303,24.03980593,,
202,0.000166979,0.000499403,3.837369873,16.29633539,23.63329642,23.67305613,,
203,0.000160526,0.000507066,4.131793855,16.93179998,23.68468547,23.31438894,,
204,0.000153601,0.000514826,4.450459205,17.59552512,23.73566238,22.96590309,,
205,0.000146256,0.000522711,4.794634596,18.28703447,23.78610296,22.62924767,,
206,0.000138589,0.000530814,5.167693625,19.00623034,23.83578112,22.30614944,,
207,0.000130653,0.000539141,5.569732793,19.75102898,23.88404824,21.99759885,,
208,0.000122529,0.00054772,6.001743307,20.51915294,23.9300608,21.70502508,,
209,0.000114353,0.0005566,6.464829177,21.30474215,23.97002526,21.42811275,,
210,0.000106168,0.000565827,6.959555052,22.10598432,24.0027652,21.16649505,,
211,9.81E-05,0.000575474,7.486992871,22.91891182,24.02577347,20.91979732,,
212,9.02E-05,0.000585561,8.044401454,23.73323981,24.03562753,20.688509,,
213,8.26E-05,0.000596094,8.631400268,24.54801188,24.03198571,20.47238549,,
214,7.54E-05,0.000607107,9.244576497,25.35242494,24.01117925,20.27089622,,
215,6.87E-05,0.000618587,9.879446088,26.13777481,23.97112621,20.08362321,,
216,6.25E-05,0.000630633,10.53358789,26.89780902,23.91041042,19.90997098,,
